v0001anomes	c7	ct	cnt	pomif	poinf	taxami	taxasc
42/2012/2	64.14	46.55	183.05	100	100	4.54	6.80
42/2012/4	70.53	35.79	181.90	100	100	4.17	10.42
42/2012/8	66.53	32.24	262.99	100	100	6.73	2.24
42/2012/11	71.11	39.56	261.89	100	100	9.66	2.42
42/2013/2	68.55	49.27	212.50	100	100	2.25	11.26
42/2013/3	68.92	50.23	206.98	100	100	11.79	25.54
42/2013/5	68.63	40.98	207.03	100	100	9.78	5.87
43/2012/3	68.63	67.95	66.85	100	100	6.85	18.82
43/2012/4	70.45	66.69	64.82	100	100	9.14	23.16
43/2012/5	70.08	58.14	66.55	100	100	6.88	22.35
43/2012/6	67.51	59.54	56.70	100	100	12.11	19.98
43/2012/7	69.19	109.56	60.91	100	100	11.76	26.01
43/2012/8	69.35	80.74	65.61	100	100	12.29	14.13
43/2012/9	70.76	61.79	33.43	100	100	5.69	28.45
43/2012/10	73.26	74.72	31.09	100	100	7.49	26.22
43/2012/12	75.35	65.65	28.02	100	100	10.69	15.72
43/2013/3	69.97	74.74	24.85	93.55	100	6.1	24.42
43/2013/5	71.23	74.98	26.91	96.43	100	7.43	22.87
43/2013/6	72.16	51.52	30.23	95.12	100	10.81	24.62
50/2012/2	62.14	51.99	1.61	93.33	100	10.24	5.12
50/2012/3	66.81	54.52	2.10	91.67	100	5.62	1.61
50/2012/6	65.82	46.33	0.00	76.19	80	13.65	5.46
50/2012/7	64.6	44.68	0.00	90.91	75	7.21	8.12
50/2012/8	65.64	25.79	0.00	88	84.62	11.76	8.14
50/2012/9	66.06	33.48	0.00	87.5	100	6.54	14.01
50/2012/10	67.32	23.34	0.00	88	80	8.73	9.60
50/2012/11	68.15	20.59	0.00	90.48	70	10.02	14.03
50/2012/12	65.23	11.52	0.00	85	100	3.73	12.13
50/2013/1	66.23	13.15	0.00	92.59	81.82	9.18	9.18
50/2013/3	65.83	27.22	0.00	82.61	100	6.49	4.87
50/2013/4	64.2	22.56	0.00	90.48	92.31	10.84	12.51
50/2013/5	67.39	23.6	0.00	86.67	100	10.43	5.62
50/2013/6	68.62	26.48	0.00	81.25	100	11.33	11.33
50/2013/7	67.89	22.47	8.29	86.96	100	7.08	9.73
51/2012/1	74.21	41.19	4.78	100	100	15.64	2.41
51/2012/2	68.23	17.57	14.85	100	81.82	13.13	3.58
51/2012/4	66.04	15.71	17.76	100	100	10.84	3.61
51/2012/8	70.27	26.99	20.90	100	100	9.01	11.58
51/2012/9	68.98	15.83	17.55	100	100	22.38	4.71
51/2012/10	70.32	21.67	11.70	96.97	85.71	16.61	4.74
51/2013/1	69.55	16.27	11.19	93.33	100	20.43	13.22
51/2013/3	64.76	6.85	14.14	100	90.91	12.87	11.70
51/2013/5	67.28	0.97	11.81	100	94.44	20.74	8.06
51/2013/6	71.2	20.05	8.42	100	100	15.1	9.29
52/2012/1	69.75	12.4	0.38	100	100	18.9	1.77
52/2012/3	68.29	9.49	0.34	100	100	16	1.03
52/2012/4	68.66	16.99	0.36	100	100	11.86	2.82
52/2012/5	69.68	20.27	0.48	100	95.83	13.54	0.56
52/2012/6	67.85	25.72	0.39	100	100	9.38	0.59
52/2012/7	68.39	27.86	0.00	100	95.65	13.23	1.73
52/2012/8	69.18	22.08	0.00	100	100	10.5	2.21
52/2012/9	70.55	28.45	9.10	100	100	6.98	2.33
52/2012/12	73.21	26.21	14.84	100	95.65	12.52	1.09
52/2013/1	72.18	20.36	15.53	100	100	14.98	4.82
52/2013/2	69.72	18.46	0.88	100	100	12.01	1.14
52/2013/3	70.44	14.52	2.99	100	100	18.32	1.02
52/2013/4	71.4	11.6	5.73	100	100	10.34	1.03
52/2013/6	67.5	10.46	18.28	100	100	9.28	6.01
53/2012/1	62.43	1.77	12.77	98.68	79.55	12.17	4.98
53/2012/2	60.56	5.09	43.23	89.86	79.49	10.96	4.78
53/2012/3	64.09	11.72	0.00	100	91.84	12.66	2.07
53/2012/4	65.31	3.41	8.28	96.92	87.5	10.9	5.18
53/2012/5	66.01	6.38	30.49	91.25	87.5	12.87	4.02
53/2012/6	65.26	3.91	0.00	95.45	87.5	11.2	2.80
53/2012/7	66.44	7.98	9.17	91.38	91.3	12.94	4.50
53/2012/8	67.48	9.2	18.38	92.21	91.67	12.9	6.45
53/2012/9	69.08	11.98	0.00	86.15	91.67	10.07	6.16
53/2012/11	69.38	4.57	27.18	89.09	87.8	11.68	4.27
53/2012/12	64.96	6.15	0.00	80	80	9.97	4.56
53/2013/1	61.07	4.16	44.25	94.59	98.11	14.06	5.57
53/2013/2	62.11	1.27	18.52	100	97.78	12.93	5.46
53/2013/3	62.52	2.53	0.00	98.21	95.24	10.65	4.57
53/2013/4	63.14	8.07	14.07	100	97.78	11.85	4.48
53/2013/6	69.83	0	0.00	98.25	89.13	12.7	8.28
53/2013/7	63.51	0	0.00	81.58	94	13.27	7.96
